year,geo_name,geo,adult_smoking,adult_obesity,excessive_drinking,motor_vehicle_crash_deaths,homicide_rate,sexually_transmitted_infections,health_care_costs,diabetes,hiv_prevalence_rate,violent_crime,alcoholimpaired_driving_deaths
2015,Autauga County,05000US01001,0.217,0.313,0.167,21.25,4.6,508,9939,0.121,181.1,253.64,0.333
2015,"Baldwin County, AL",05000US01003,0.206,0.25,0.179,16.57,4.3,357.5,9502,0.115,188.1,220.67,0.303
2015,Barbour County,05000US01005,0.251,0.384,0.135,18.67,None,716.9,10414,0.148,388.1,146.89,0.435
2015,Bibb County,05000US01007,0.259,0.373,0.112,25.87,7.8,371.7,10825,0.127,106.7,235.95,0.31
2015,Blount County,05000US01009,0.213,0.309,0.055,25.57,4.3,160.8,10281,0.132,92.8,219.03,0.18
2015,Bullock County,05000US01011,0.378,0.432,None,54.19,None,964.3,9976,0.176,409.1,283.35,0.417
2015,Butler County,05000US01013,0.305,0.384,0.109,21.32,8.2,738.7,11378,0.161,219.8,483.04,0.217
2015,"Calhoun County, AL",05000US01015,0.244,0.315,0.116,17.54,12,684.6,11405,0.132,185.4,504.52,0.225
2015,Chambers County,05000US01017,0.241,0.397,None,28.22,9.7,871.9,8948,0.157,318.2,553.46,0.298
2015,Cherokee County,05000US01019,0.244,0.303,0.149,24.37,None,192.2,10851,0.137,119.8,374.37,0.262
2015,Chilton County,05000US01021,0.201,0.37,0.093,30.34,6.2,353.7,10168,0.132,98.7,407.4,0.292
2015,Choctaw County,05000US01023,0.199,0.402,None,45.99,None,550.1,11908,0.174,258,110.94,0.375
2015,Clarke County,05000US01025,0.137,0.352,0.088,29.09,7.5,890.3,9422,0.152,117.8,464.12,0.317
2015,Clay County,05000US01027,0.262,0.374,None,20.51,None,454,9934,0.149,143.7,313.03,0.286
2015,Cleburne County,05000US01029,0.189,0.304,None,19.27,None,384.3,11159,0.128,123.2,224.33,0.148
2015,Coffee County,05000US01031,0.177,0.285,0.098,21.26,3.5,640,9330,0.13,140.3,363.9,0.325
2015,Colbert County,05000US01033,0.296,0.339,0.074,19.94,5.3,683.2,10689,0.149,111.1,372.9,0.14
2015,Conecuh County,05000US01035,0.229,0.391,None,36.55,None,808.9,11037,0.185,280.5,612.84,0.172
2015,Coosa County,05000US01037,0.3,0.372,None,25.31,None,474.2,9815,0.162,132.7,290.92,0.478
2015,Covington County,05000US01039,0.287,0.323,0.109,23.86,None,503.2,10626,0.138,130.4,242.18,0.333
2015,Crenshaw County,05000US01041,0.166,0.371,None,31.74,None,468.7,10459,0.159,176.4,441.53,0.3
2015,Cullman County,05000US01043,0.22,0.344,0.109,26.04,2.8,317,10210,0.134,58.8,201.19,0.205
2015,Dale County,05000US01045,0.212,0.344,0.144,20.06,7.3,547.1,10430,0.145,317.3,395.76,0.4
2015,Dallas County,05000US01047,0.206,0.417,0.12,27.4,20.6,1525.8,9831,0.164,362.5,781.84,0.588
