year,geo_name,geo,income,income_ranking
2014,Adjuntas Municipio,05000US72001,10550,3220
2014,Lares Municipio,05000US72081,11929,3219
2014,Ciales Municipio,05000US72039,12565,3218
2014,Lajas Municipio,05000US72079,13422,3217
2014,Gu��nica Municipio,05000US72055,13635,3216
2014,Comer�_o Municipio,05000US72045,13680,3215
2014,Salinas Municipio,05000US72123,13871,3214
2014,Maricao Municipio,05000US72093,14149,3213
2014,Patillas Municipio,05000US72109,14343,3212
2014,Orocovis Municipio,05000US72107,14549,3211
2014,San Sebasti��n Municipio,05000US72131,14726,3210
2014,Las Mar�_as Municipio,05000US72083,14928,3209
2014,Sabana Grande Municipio,05000US72121,15054,3208
2014,Aguas Buenas Municipio,05000US72007,15081,3207
2014,San Germ��n Municipio,05000US72125,15091,3206
2014,Barranquitas Municipio,05000US72019,15109,3205
2014,Barceloneta Municipio,05000US72017,15228,3204
2014,Quebradillas Municipio,05000US72115,15277,3203
2014,Utuado Municipio,05000US72141,15291,3202
2014,Moca Municipio,05000US72099,15301,3201
2014,Yauco Municipio,05000US72153,15346,3200
2014,Mayag�_ez Municipio,05000US72097,15402,3199
2014,Guayanilla Municipio,05000US72059,15483,3198
2014,Pe��uelas Municipio,05000US72111,15506,3197
2014,Isabela Municipio,05000US72071,15740,3196
2014,Arroyo Municipio,05000US72015,15863,3195
2014,Florida Municipio,05000US72054,15992,3194
2014,Morovis Municipio,05000US72101,16086,3193
2014,Jayuya Municipio,05000US72073,16111,3192
2014,Santa Isabel Municipio,05000US72133,16344,3191
2014,Aguada Municipio,05000US72003,16376,3190
2014,Vega Baja Municipio,05000US72145,16625,3189
2014,Yabucoa Municipio,05000US72151,16627,3188
2014,Rinc�_n Municipio,05000US72117,16704,3187
2014,Guayama Municipio,05000US72057,16765,3186
2014,Aguadilla Municipio,05000US72005,16767,3185
2014,"Ponce Municipio, PR",05000US72113,16807,3184
2014,Cabo Rojo Municipio,05000US72023,16880,3183
2014,Aibonito Municipio,05000US72009,16962,3182
2014,Arecibo Municipio,05000US72013,16997,3181
2014,Corozal Municipio,05000US72047,17020,3180
2014,San Lorenzo Municipio,05000US72129,17116,3179
2014,A��asco Municipio,05000US72011,17147,3178
2014,Villalba Municipio,05000US72149,17389,3177
2014,Naranjito Municipio,05000US72105,17478,3176
2014,Maunabo Municipio,05000US72095,17866,3175
2014,Coamo Municipio,05000US72043,17938,3174
2014,Vega Alta Municipio,05000US72143,17944,3173
2014,Culebra Municipio,05000US72049,18167,3172
2014,Vieques Municipio,05000US72147,18179,3171
2014,Luquillo Municipio,05000US72089,18256,3170
2014,Naguabo Municipio,05000US72103,18295,3169
2014,Lo�_za Municipio,05000US72087,18456,3168
2014,Cata��o Municipio,05000US72033,18625,3167
2014,Juana D�_az Municipio,05000US72075,18758,3166
2014,Manat�_ Municipio,05000US72091,18796,3165
2014,Hatillo Municipio,05000US72065,19130,3164
2014,Owsley County,05000US21189,19146,3163
2014,Juncos Municipio,05000US72077,19288,3162
2014,Camuy Municipio,05000US72027,19490,3161
2014,Las Piedras Municipio,05000US72085,19929,3160
2014,McCreary County,05000US21147,20000,3159
2014,Humacao Municipio,05000US72069,20251,3158
2014,Ceiba Municipio,05000US72037,20339,3157
2014,Can�_vanas Municipio,05000US72029,20494,3156
2014,Fajardo Municipio,05000US72053,20531,3155
2014,Cayey Municipio,05000US72035,21058,3154
2014,Wolfe County,05000US21237,21198,3153
2014,Clay County,05000US13061,21300,3152
2014,Hormigueros Municipio,05000US72067,21323,3151
2014,Holmes County,05000US28051,21399,3150
2014,Stewart County,05000US13259,21880,3149
2014,Greene County,05000US01063,22170,3148
2014,Brooks County,05000US48047,22176,3147
2014,"San Juan Municipio, PR",05000US72127,22266,3146
2014,R�_o Grande Municipio,05000US72119,22372,3145
2014,Clay County,05000US21051,22626,3144
2014,Sumter County,05000US01119,22865,3143
2014,Hudspeth County,05000US48229,23350,3142
2014,Wilcox County,05000US01131,23406,3141
2014,Cidra Municipio,05000US72041,23452,3140
